province,january_2019,february_2019,march_2019,april_2019,may_2019,june_2019,july_2019,august_2019,september_2019,october_2019,november_2019,december_2019,january_2020,february_2020,march_2020,april_2020,may_2020,june_2020,july_2020,august_2020,september_2020,october_2020,november_2020,december_2020,january_2021,february_2021,march_2021,april_2021,may_2021,june_2021,july_2021,august_2021,september_2021,october_2021,november_2021,december_2021,january_2022,february_2022,march_2022,april_2022,may_2022,june_2022,july_2022,august_2022,september_2022,october_2022,november_2022,december_2022,january_2023,february_2023,march_2023,april_2023,may_2023,june_2023,july_2023,august_2023,september_2023,october_2023,november_2023,december_2023
ACEH,1387574,1111607,1113176,1155705,1070909,1800152,1323272,1508073,1174513,1219323,1198958,1597524,483897,430589,351710,157764,258310,298482,333571,392055,293602,340415,322558,479226,396953,421243,445804,378402,599117,457822,445355,397120,440652,490983,445046,615908,526417,501651,585675,434633,935025,566361,748573,531072,500673,513056,471520,639922,663437,517850,557272,756915,791968,701963,871519,618671,565184,588020,637519,1673468
SUMATERA UTARA,5094564,3282713,3442407,3676763,3469100,5774370,3996409,3699782,3208776,3419415,3416228,5440703,2012511,1466193,1109440,442072,576278,864667,1082687,1291700,1016798,1232110,1120288,1831624,1424081,1375473,1415803,1369304,1674445,1571487,1127318,1139616,1329028,1641459,1433761,2256408,2022964,1636066,1846809,1658463,2896949,1987624,2216932,1678953,1664991,1785747,1525633,2283325,2962641,1870691,1852752,2673955,2556839,2416258,2462212,1889717,1847654,1958158,1870337,3251911
SUMATERA BARAT,1667509,1313185,1420799,1573606,1511963,2910574,1719018,1207708,1011691,1094813,1078273,2292513,863282,779785,623248,226466,250931,562966,754303,827245,555478,672099,661261,1115758,775782,735587,793796,712644,1025889,894952,664848,635405,717460,829981,733146,1084422,926043,814741,1007630,838560,1655583,988346,1176922,905311,891560,949081,877671,1307815,1345098,1024017,1056957,1373374,1538507,1407632,1413899,1072952,1083013,1121805,904282,1350709
RIAU,1990985,1425092,1541155,1563303,1574681,2179811,1646721,1227426,1018291,1131194,1119316,2087900,619363,548129,464347,215636,249411,390121,440119,497048,422867,520924,463144,674613,507998,482533,511576,451372,501143,521519,486997,418261,480952,542388,503440,735090,636543,581783,673534,597000,897026,692293,795698,662795,677309,692329,640199,857727,914340,729078,759760,935938,977332,1016640,1048542,893939,866457,908253,762348,1334426
JAMBI,828879,652908,716028,547378,438508,572785,498688,620967,580974,533651,526013,702943,264201,250082,206088,114969,133020,183620,235975,258405,228973,240877,242326,326026,247256,225630,239867,226476,280176,255590,240188,205004,234360,277376,247704,367540,302504,255285,313009,310853,449078,316554,364514,285681,280278,289153,262087,351987,380949,293566,302700,414742,421741,424987,433896,375376,368132,386128,371185,609785
SUMATERA SELATAN,1763349,1294947,1356470,1099872,917156,1380350,848202,1265112,1121514,1276480,1168308,1575018,620543,584230,483516,234250,223800,339725,486690,555501,484199,557537,514748,745355,541878,511557,553847,516146,608248,574663,499604,477028,554767,624377,568239,796983,650971,538004,691513,725485,970391,679215,834754,659155,668784,665454,603787,804851,870450,714967,703181,1010231,1021583,968252,1013893,867202,867562,858520,725317,1373335
BENGKULU,414287,304721,336570,287546,258241,407898,292552,353997,347174,342352,340572,412683,155102,140647,117920,61421,67769,100775,131746,154764,127706,146378,131395,184734,139180,131185,137722,124531,179928,159098,126188,123317,139828,160489,138376,210851,180768,137886,172874,160737,293433,173024,203448,158883,159439,154957,133058,185142,211866,151670,154106,248057,241660,225886,241961,199228,204566,209482,187859,680801
LAMPUNG,2082997,1612674,1606207,1164672,877643,1653991,992730,1422192,1191629,1269517,1276815,1871463,876254,782363,658446,356647,395199,559053,779034,880796,686462,788792,737712,1024964,707904,647312,746409,706069,975559,791886,564563,602800,749160,835530,760453,1089221,878496,694763,866807,934561,1412731,866263,1043996,772720,833337,834108,762778,1025144,1149078,900023,877374,1429885,1376686,1208281,1293197,997673,1030417,1058924,894880,1544279
KEP. BANGKA BELITUNG,298322,240226,255054,199678,122301,178462,148190,182592,171412,195073,198154,239683,127282,107273,83654,34757,48428,53351,70022,87978,73888,81326,86222,111916,65347,72930,87341,84283,93531,93222,73819,62355,80206,109459,101097,140399,122602,99338,142414,125002,183098,135070,146618,117743,120832,126635,115001,144054,164006,124730,139812,185529,209111,218299,234099,206938,188694,173431,137343,400977
KEP. RIAU,434786,351865,358547,360392,358416,460205,413445,286867,244300,274522,287732,448736,138085,112726,68659,19843,17661,29392,47791,46331,48314,60644,61440,94695,60617,64867,75329,70355,50771,65954,36721,40978,73747,88509,85577,122247,93349,75268,105778,104207,138874,147934,149456,123680,123914,132432,131230,185232,176025,153373,162989,162775,200190,230629,211471,180206,179288,186323,166685,285542
