38 Provinsi,,,,,,,,,,,,,
,Jumlah Perjalanan Wisatawan Nusantara Menurut Provinsi Tujuan (Perjalanan),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
ACEH,1009785,937728,905565,1282532,995794,1065780,958675,918712,1121450,-,-,-,-
SUMATERA UTARA,4055407,3392029,3149185,3548654,3419857,3369808,3414106,3379729,4019635,-,-,-,-
SUMATERA BARAT,1767621,1758610,1281044,1660760,1302524,1642366,1752732,1503626,1594916,-,-,-,-
RIAU,1546102,1449021,1434953,1750903,1488391,1446350,1421029,1409710,1557153,-,-,-,-
JAMBI,665652,610850,612554,886241,662793,665827,632888,641328,726289,-,-,-,-
SUMATERA SELATAN,1425715,1319045,1285518,1854471,1326810,1361245,1309530,1377414,1613105,-,-,-,-
BENGKULU,361373,308036,298351,477429,339591,358206,368804,343644,366867,-,-,-,-
LAMPUNG,1618490,1338941,1260766,1702675,1508526,1658113,1460669,1309129,1449937,-,-,-,-
KEP. BANGKA BELITUNG,250498,237943,224732,297882,237959,235572,250992,231008,274554,-,-,-,-
KEP. RIAU,291092,290290,268990,333667,276392,241548,267206,244132,327297,-,-,-,-
DKI JAKARTA,6575224,6591103,6516141,6717681,7003491,6400253,6306388,6859892,8325083,-,-,-,-
JAWA BARAT,14014835,12944090,12045327,17307396,13200640,13402819,12180017,13044155,14512438,-,-,-,-
JAWA TENGAH,14861131,10842522,13469688,17334664,11518425,11272486,10256968,10850505,11684454,-,-,-,-
DI YOGYAKARTA,4267235,3033596,2593849,3543912,3530518,3186945,2432476,2847256,3047605,-,-,-,-
JAWA TIMUR,18995177,18581675,16845753,25059729,18654895,19889602,17652253,14587397,15450635,-,-,-,-
BANTEN,3971406,3926077,3775395,4802987,3991757,3907026,3507136,3884994,3975322,-,-,-,-
BALI,1984441,2017933,1879483,1935521,1965093,1826331,1737653,1737460,1886290,-,-,-,-
NUSA TENGGARA BARAT,1094925,1031185,1005994,1202805,1072395,1141814,1121959,1231753,1318429,-,-,-,-
NUSA TENGGARA TIMUR,707139,615259,646883,656028,608224,604328,676533,660044,694905,-,-,-,-
KALIMANTAN BARAT,689876,656244,622776,848813,628843,663625,603892,606146,705904,-,-,-,-
KALIMANTAN TENGAH,595255,523350,517618,646408,522476,506202,505991,458785,463339,-,-,-,-
KALIMANTAN SELATAN,1076693,828106,796182,1092475,827514,853370,839264,892236,954172,-,-,-,-
KALIMANTAN TIMUR,932814,907903,860633,1163540,922361,890636,906438,1097616,1157551,-,-,-,-
KALIMANTAN UTARA,85018,77726,74582,90575,78136,70020,72550,72243,85743,-,-,-,-
SULAWESI UTARA,700470,628713,625920,762190,668197,671549,684236,652308,677540,-,-,-,-
SULAWESI TENGAH,941412,831294,809385,1061864,814471,774521,769772,561958,597380,-,-,-,-
SULAWESI SELATAN,3390270,3016298,2891023,3551378,3087984,3145350,3036552,2541035,2667584,-,-,-,-
SULAWESI TENGGARA,1200314,1145554,1039727,1442912,1070042,1110037,1020919,938098,970484,-,-,-,-
GORONTALO,284274,270873,274795,376567,285885,287451,258399,255357,279435,-,-,-,-
SULAWESI BARAT,396450,354721,325813,443291,342758,344329,337003,271517,275975,-,-,-,-
MALUKU,190408,156854,161337,190504,141499,117608,121575,114005,124803,-,-,-,-
MALUKU UTARA,190002,174338,163305,206819,161274,143794,147500,145836,192976,-,-,-,-
PAPUA BARAT,44841,38474,35649,36469,30025,24109,27033,24313,26314,-,-,-,-
PAPUA BARAT DAYA,87002,75511,73040,76064,68339,60563,61443,52517,71579,-,-,-,-
PAPUA,129823,102856,103119,107380,90245,80858,87182,74030,87165,-,-,-,-
PAPUA SELATAN,22881,17468,15993,17842,13477,10197,11089,9672,10491,-,-,-,-
PAPUA TENGAH,47850,39547,37022,32192,28351,20750,24028,26024,35126,-,-,-,-
PAPUA PEGUNUNGAN,32767,35410,28300,23991,23709,20894,20994,22665,31259,-,-,-,-
INDONESIA,90501668,81107173,78956390,104527211,82909661,83472282,77243874,75878249,83361184,-,-,-,-
