time_series,ACEH,SUMATERA UTARA,SUMATERA BARAT,RIAU,JAMBI,SUMATERA SELATAN,BENGKULU,LAMPUNG,KEP. BANGKA BELITUNG,KEP. RIAU,DKI JAKARTA,JAWA BARAT,JAWA TENGAH,DI YOGYAKARTA,JAWA TIMUR,BANTEN,BALI,NUSA TENGGARA BARAT,NUSA TENGGARA TIMUR,KALIMANTAN BARAT,KALIMANTAN TENGAH,KALIMANTAN SELATAN,KALIMANTAN TIMUR,KALIMANTAN UTARA,SULAWESI UTARA,SULAWESI TENGAH,SULAWESI SELATAN,SULAWESI TENGGARA,GORONTALO,SULAWESI BARAT,MALUKU,MALUKU UTARA,PAPUA BARAT,PAPUA
2019-01-01,1387574,5094564,1667509,1990985,828879,1763349,414287,2082997,298322,434786,5397751,11116072,5499613,1411202,7370689,3499099,1316977,638044,730527,868324,583298,798371,979211,143744,256496,451254,2054894,534762,90789,197588,258094,125514,185287,313389
2019-02-01,1111607,3282713,1313185,1425092,652908,1294947,304721,1612674,240226,351865,4349186,9942434,3635334,914238,3397447,2693769,1225808,650532,588445,718122,422358,624476,691855,109695,112937,308973,1402775,405350,48019,134391,193290,76500,143094,209857
2019-03-01,1113176,3442407,1420799,1541155,716028,1356470,336570,1606207,255054,358547,4859467,11088052,8111673,1838076,6166799,2938462,1465586,615424,609906,702067,478327,1065096,782692,132047,197795,374463,1654575,436423,84467,163587,206894,166014,159903,224960
2019-04-01,1155705,3676763,1573606,1563303,547378,1099872,287546,1164672,199678,360392,4798553,11993275,9858616,2187942,5021927,2963258,1483415,623576,656777,667426,459150,684460,774765,127958,221246,374029,1799377,487941,102283,174495,216036,190003,152087,209282
2019-05-01,1070909,3469100,1511963,1574681,438508,917156,258241,877643,122301,358416,4428139,10148348,6842427,1206999,6577537,2694170,1185662,672162,668972,668813,481899,686310,797668,136905,235233,368161,1653101,445093,109827,152740,228658,163855,161711,235428
2019-06-01,1800152,5774370,2910574,2179811,572785,1380350,407898,1653991,178462,460205,5181301,17758640,11212167,2259780,9120727,3763715,1822787,905622,800071,965873,578068,995857,999931,143427,325311,380756,2395339,621228,163192,221961,224863,119683,172118,240501
2019-07-01,1323272,3996409,1719018,1646721,498688,848202,292552,992730,148190,413445,5727689,12666376,7224219,2001306,4493144,3571783,1682553,768494,761909,737058,495108,781045,845422,129237,336575,323650,1917506,487514,123297,173239,111095,102619,164784,234623
2019-08-01,1508073,3699782,1207708,1227426,620967,1265112,353997,1422192,182592,286867,5927808,13851900,8383154,1852091,7666096,3972592,1618973,752154,643008,750991,490930,807828,845716,128417,305167,506559,2516211,532628,131352,262037,104002,99582,158220,224909
2019-09-01,1174513,3208776,1011691,1018291,580974,1121514,347174,1191629,171412,244300,5562321,11808826,5921102,1510369,7960768,3532654,1445303,691694,323446,611793,468770,685513,747355,112758,267290,404438,2106120,439248,106151,204889,91767,85337,73498,174820
2019-10-01,1219323,3419415,1094813,1131194,533651,1276480,342352,1269517,195073,274522,6491736,13129658,6370710,1684368,9665026,4205610,1627142,745786,365828,644920,455242,718103,817926,120089,307207,469816,2341121,303878,139035,242300,96055,177456,93397,204906
2019-11-01,1198958,3416228,1078273,1119316,526013,1168308,340572,1276815,198154,287732,6602925,13649852,5998022,1704053,9788588,4339169,1618206,742083,354781,647391,467380,763093,799348,121255,286146,494853,2345045,300770,120291,236861,97869,163370,94620,212794
2019-12-01,1597524,5440703,2292513,2087900,702943,1575018,412683,1871463,239683,448736,5290943,14443528,8363789,1836652,8254457,3633256,1571722,773833,768865,919685,583207,899515,991646,144538,293133,418240,2230009,580664,127908,210792,243228,124114,180580,280181
2020-01-01,483897,2012511,863282,619363,264201,620543,155102,876254,127282,138085,4285490,10492510,13945958,2564209,11480621,3493296,1198046,357562,196280,238250,199469,453132,314243,27906,156614,185796,1027653,206468,48443,105991,38562,46810,46741,75045
2020-02-01,430589,1466193,779785,548129,250082,584230,140647,782363,107273,112726,3980736,9453029,12527304,2165645,10963390,3108353,1076140,346046,177430,192950,184057,525682,286192,28952,154197,176960,932636,193500,44850,97671,36768,47758,44158,73078
2020-03-01,351710,1109440,623248,464347,206088,483516,117920,658446,83654,68659,2731511,7069903,11005404,1653382,9901042,2403198,684140,266947,161512,133713,162270,388598,217704,22807,158677,145200,759362,143516,54723,69873,29688,38527,34282,57571
2020-04-01,157764,442072,226466,215636,114969,234250,61421,356647,34757,19843,800210,2572442,8810623,731738,6570521,1058760,273450,114758,102092,58284,78802,142599,91121,9670,66627,65380,287133,71545,33603,26873,10479,22439,9348,24783
2020-05-01,258310,576278,250931,249411,133020,223800,67769,395199,48428,17661,1102095,3478828,7558284,665050,7672138,1372881,261406,134465,78698,70612,75118,140584,95763,8536,58036,65852,308242,71224,27476,22014,7978,12649,11657,26829
2020-06-01,298482,864667,562966,390121,183620,339725,100775,559053,53351,29392,1730939,6047886,8741458,966026,9184613,1757307,427300,219509,123912,114469,105229,217081,153412,12698,112243,86803,547513,106867,49003,49222,11914,23881,17414,35260
